﻿世茂东壹号(别墅),﻿玉山-城东-前进东路233号,﻿121.053740,﻿31.380466,﻿23118,﻿别墅,"﻿多层1.8元/平方米/月,高层2.1",﻿750000m²,﻿6300户,﻿2009年,﻿6300,﻿1.5,﻿40%(高),﻿昆山世茂新发展置业有限公司,﻿上海世茂物业服务有限公司,0,0
﻿华盛六园,﻿玉山-城东-人民北路和南京西路交汇处,﻿121.095528,﻿31.466766,﻿9839,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿彩虹花苑,﻿玉山-城东-人民北路29号,﻿121.097272,﻿31.458223,﻿8544,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿秦都酒店公寓,﻿玉山-老城区-人民路153号,﻿120.700268,﻿31.931522,﻿35208,﻿公寓,﻿暂无数据,﻿52400m²,﻿352户,﻿2009年,﻿160,﻿2.1,﻿17%(低),﻿昆山市名仕房产发展有限公司,﻿秦都物业,0,0
﻿晒谷场小区,﻿玉山-老城区-集街路,﻿120.963253,﻿31.378648,﻿24805,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2000年,﻿地面停车位,﻿1.2,﻿40%(高),﻿昆山城市建设投资发展有限公司_x000D_,﻿小区自治,9,44
﻿金谷园,﻿玉山-老城区-白马泾路,﻿120.942886,﻿31.378027,﻿23288,﻿暂无数据,﻿1.50元/㎡/月,﻿16800m²,﻿1800户,﻿2010年,﻿地面停车位,﻿1.2,﻿20%(一般),﻿城建投资有限公司,﻿乐成物业管理有限公司,4,132
﻿隆祺丽景国际,﻿玉山-城东-前进东路757号,﻿121.012170,﻿31.383710,﻿7893,﻿暂无数据,﻿2.80元/㎡/月,﻿180000m²,﻿833户,﻿2013年,﻿786,﻿4.5,﻿38%(一般),﻿昆山隆祺置业有限公司,﻿山海天物业,102,223
﻿康怡园,﻿玉山-老城区-朝阳中路465号,﻿120.970388,﻿31.370794,﻿16404,﻿暂无数据,﻿0.00元/㎡/月,﻿188950m²,﻿暂无数据,﻿1999年,﻿暂无数据,﻿1.6,﻿35%(一般),﻿暂无数据,﻿望族商城物业,13,3
﻿美丽家园,﻿玉山-老城区-樾阁南街,﻿120.963025,﻿31.382343,﻿9333,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿圣地亚哥,﻿玉山-老城区-长江北路399号,﻿120.979628,﻿31.421926,﻿10181,﻿普通住宅,﻿1.20元/平方米·月,﻿105000m²,﻿388户,﻿2005年,﻿地上150元/月,﻿1.52,﻿38%(一般),﻿昆山中安置业有限公司,﻿上海建科物业管理有限公司,0,0
﻿神童花苑,﻿陆家-陆家-光夏路150号,﻿121.038890,﻿31.320818,﻿14092,﻿暂无数据,﻿1.00元/㎡/月,﻿124631m²,﻿暂无数据,﻿2011年,﻿214,﻿1.2,﻿27%(一般),﻿江苏城市建设_x000D_,﻿惠民物业,3,3
﻿格兰新村,﻿玉山-城北-海峰路,﻿120.950271,﻿31.400743,﻿16346,﻿暂无数据,﻿0.80元/㎡/月,﻿7268m²,﻿1200户,﻿2004年,﻿1：1,﻿1.2,﻿20%(一般),﻿昆山凯迪房地产开发有限公司,﻿业主自管,8,71
﻿昆太花园,﻿周市-卜蜂莲花-白塘路38号,﻿120.982903,﻿31.392856,﻿15858,﻿暂无数据,﻿0.00元/㎡/月,﻿5000m²,﻿580户,﻿2002年,﻿地面停车位,﻿2.2,﻿35%(一般),﻿昆山城乐开发商,﻿业主委员会自行成立,4,25
﻿中华园,﻿玉山-城南-衡山路,﻿120.960523,﻿31.359180,﻿14705,﻿暂无数据,﻿0.45元/㎡/月,﻿3864m²,﻿500户,﻿1998年,﻿500,﻿0.65,﻿31%(一般),﻿昆山经济技术开发区出口加区园投资开发公司,﻿昆山市怡园物业,35,152
﻿锦阳苑,﻿玉山-老城区-合兴西路,﻿120.953031,﻿31.369998,﻿20158,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2003年,﻿600,﻿1.5,﻿45%(高),﻿昆山蔚洲房产开发有限公司,﻿小区自治,25,71
﻿康居新江南,﻿巴城-通澄-苇城南路555号,﻿120.897532,﻿31.386775,﻿29133,﻿暂无数据,﻿0.80元/㎡/月,﻿72196m²,﻿460户,﻿2007年,﻿150,﻿1,﻿47%(高),﻿昆山城市建设投资发展有限公司,﻿昆山乐成物业管理有限公司,66,683
﻿棕榈泉山庄,﻿玉山-老城区-中山路,﻿120.950660,﻿31.385899,﻿23429,﻿暂无数据,﻿0.30元/㎡/月,﻿52000m²,﻿800户,﻿2007年,﻿充足,﻿1.2,﻿40%(高),﻿暂无数据,﻿暂无数据,7,103
﻿星海酒店公寓,﻿玉山-城北-前進西路玉峰大橋,﻿120.938907,﻿31.381077,﻿19565,﻿公寓,﻿暂无数据,﻿暂无数据,﻿500户,﻿2008年,﻿500,﻿暂无数据,﻿41%(高),﻿暂无数据,﻿暂无数据,0,0
﻿风景英伦(公寓),﻿玉山-城西-萧林中路,﻿120.969069,﻿31.403011,﻿22666,﻿暂无数据,﻿1.50元/㎡/月,﻿186928m²,﻿1424户,﻿2010年,﻿1000,﻿1.3,﻿41%(高),﻿昆山新城市置业发展有限公司,﻿绿城物业,148,640
﻿江浦新村(别墅),﻿玉山-城西-万步路500号,﻿120.923710,﻿31.391069,﻿21364,﻿暂无数据,﻿0.60元/㎡/月,﻿18975m²,﻿320户,﻿2006年,﻿地上停车位100元每月,﻿暂无数据,﻿20%(一般),﻿昆山城建发展有限责任公司,﻿街道管理处,2,9
﻿希悦庭公馆,﻿花桥-赛格电子城-曹安公路,﻿121.140533,﻿31.293921,﻿16000,﻿暂无数据,﻿3.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2014年,﻿暂无数据,﻿1.42,﻿40%(高),﻿希尔顿建筑有限公司,﻿希尔顿物业,0,0
﻿油田小区,﻿玉山-老城区-东门街和越阁北路交叉口,﻿120.965556,﻿31.380439,﻿12345,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿白领国际公寓,﻿周市-万达-横泾路,﻿120.992150,﻿31.413665,﻿17503,﻿暂无数据,﻿1.00元/㎡/月,﻿166609m²,﻿180户,﻿2009年,﻿180,﻿2.6,﻿40%(高),﻿恒田置业有限公司,﻿昆山民湖物业管理有限公司,24,32
﻿君临天下花园,﻿周市-卜蜂莲花-白塘路555号,﻿120.983435,﻿31.406681,﻿18362,﻿暂无数据,﻿1.80元/㎡/月,﻿100000m²,﻿900户,﻿2008年,﻿710,﻿2.2,﻿40%(高),﻿昆山君临天下房产开发有限公司,﻿上海博渊物业管理有限公司昆山分公司,49,312
﻿贵悦公寓酒店,﻿玉山-老城区-前进东路888号,﻿121.008970,﻿31.384833,﻿5094,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿名都花园,﻿玉山-城北-水秀路643号,﻿120.943358,﻿31.403465,﻿14351,﻿暂无数据,﻿0.00元/㎡/月,﻿91m²,﻿210户,﻿2005年,﻿暂无数据,﻿1.2,﻿40%(高),﻿昆山莘闵房地产有限公司,﻿昆山莘闵物业管理有限公司,0,15
﻿望族商城小区,﻿周市-卜蜂莲花-春晖路,﻿120.977574,﻿31.401869,﻿14006,﻿暂无数据,﻿0.60元/㎡/月,﻿暂无数据,﻿230户,﻿2007年,﻿暂无数据,﻿2,﻿46%(高),﻿昆山市望族房产开发有限公司,﻿望族商城管理有限公司,1,28
﻿花都艺墅,﻿周市-卜蜂莲花-长江北路335号,﻿120.978487,﻿31.413349,﻿23465,﻿暂无数据,﻿1.80元/㎡/月,﻿340000m²,﻿1500户,﻿2008年,﻿1500,﻿1,﻿50%(高),﻿昆山宝裕房产开发有限公司,﻿珠海葆力物业,69,247
﻿春晖锦苑,﻿周市-昆山商厦-春晖路,﻿120.951791,﻿31.402194,﻿16227,﻿暂无数据,﻿0.80元/㎡/月,﻿100000m²,﻿700户,﻿2005年,﻿287,﻿1.39,﻿40%(高),﻿昆山永大房地产发展有限公司,﻿深圳市福田物业发展有限公司,8,134
﻿大德世家,﻿周市-万达-金浦路388号,﻿120.989266,﻿31.408326,﻿18152,﻿暂无数据,﻿1.50元/㎡/月,﻿218825m²,﻿600户,﻿2013年,﻿1:1,﻿1.7,﻿41%(高),﻿昆山市大德房地产开发有限公司,﻿江苏爱涛物业管理有限公司,142,740
﻿换新小区,"﻿周市-陆扬-迎宾路,近友谊南路",﻿120.951092,﻿31.458730,﻿12602,﻿暂无数据,﻿0.50元/㎡/月,﻿36870m²,﻿320户,﻿2007年,﻿地面停车位,﻿1.5,﻿43%(高),﻿昆山城建发展有限责任公司,﻿业主自管,1,27
﻿美陆佳园菊苑,﻿玉山-城北-恒盛路,﻿120.943777,﻿31.457593,﻿13011,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山阳澄湖房产开发有限责任公司,﻿小区自治,4,110
﻿蒋巷南苑,"﻿陆家-陆家-黄浦江中路,近南江路",﻿121.011047,﻿31.366926,﻿13434,﻿公寓,﻿1.00元/平米/月,﻿74200m²,﻿2120户,﻿2010年,﻿地面停车位,﻿1.1,﻿40%(高),﻿昆山城建发展有限责任公司,﻿业主自管,29,78
﻿富春坊,﻿周庄-周庄-全功路131号,﻿120.853262,﻿31.116384,﻿9759,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿小区自治,0,9
﻿宝成国际,﻿玉山-城北-长江北路与翠薇西路交界之西南角,﻿120.978057,﻿31.416071,﻿10227,﻿普通住宅,﻿1.2元/平米/月,﻿32000m²,﻿280户,﻿2011年,﻿200,﻿2.2,﻿35%(一般),﻿昆山宝成房产开发有限公司,﻿烨德物业有限公司,0,0
﻿淀湖芳华里,﻿锦溪-锦溪-新乐路2002号,﻿120.985926,﻿31.192476,﻿15561,﻿暂无数据,﻿3.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.02,﻿40%(高),﻿昆山大唐和筑置业有限公司,﻿浙江绿升物业服务有限公司,0,17
﻿汉城国际,﻿千灯-千灯新城-南浦东路,﻿120.977808,﻿31.244176,﻿12343,﻿暂无数据,﻿1.50元/㎡/月,﻿171000m²,﻿1472户,﻿2015年,﻿地上150元/月,﻿2,﻿37%(一般),﻿昆山地安房地产开发有限公司,﻿上海锐翔上房物业管理有限公司,93,656
﻿月亮湾,﻿张浦-大市-淞沪中路171号,﻿120.951903,﻿31.229423,﻿10112,﻿暂无数据,﻿1.00元/㎡/月,﻿12309m²,﻿60户,﻿2007年,﻿76（车库）+18（车位）,﻿1.41,﻿40%(高),﻿昆山市城市建设综合开发总公司,﻿新浦物业,0,6
﻿浦西新村,﻿张浦-张浦-商秧路,﻿120.944754,﻿31.272208,﻿10082,﻿暂无数据,﻿0.20元/㎡/月,﻿暂无数据,﻿123户,﻿暂无数据,﻿地面停车位,﻿1.1,﻿35%(一般),﻿市政建设,﻿浦西物业,7,27
﻿秦峰花园二村,﻿千灯-千灯古镇-秦峰北路,﻿121.007026,﻿31.279163,﻿9000,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2016年,﻿暂无数据,﻿1.2,﻿45%(高),﻿咸阳双峰房地产发有限公司,﻿咸阳双峰房地产发有限公司,1,50
﻿嘉鹿花园(玉山),﻿玉山-老城区-前进西路,﻿120.907913,﻿31.381496,﻿31250,﻿暂无数据,﻿0.00元/㎡/月,﻿10000m²,﻿暂无数据,﻿1998年,﻿地面停车场,﻿1.2,﻿35%(一般),﻿昆山城区房产公司,﻿江苏爱涛物业管理有限公司苏州公司,0,10
﻿顺城名湾,﻿张浦-张浦-翰林路,﻿120.931882,﻿31.274144,﻿12506,﻿暂无数据,﻿1.80元/㎡/月,﻿200000m²,﻿2000户,﻿2013年,﻿1200,﻿1.8,﻿20%(一般),﻿昆山沪成置业有限公司,﻿浙江绿城物业,94,913
﻿银河新都,﻿张浦-张浦-银河路,﻿120.934379,﻿31.263658,﻿12076,﻿暂无数据,﻿1.30元/㎡/月,﻿150000m²,﻿400户,﻿2013年,﻿400,﻿1.63,﻿40%(高),﻿昆山市裕大房地产有限公司,﻿博艺物业,47,430
﻿南城亲水佳苑,﻿张浦-张浦-商秧路,﻿120.944754,﻿31.272208,﻿11860,﻿暂无数据,﻿0.70元/㎡/月,﻿250000m²,﻿1970户,﻿暂无数据,﻿1970,﻿1.42,﻿41%(高),﻿昆山威尔斯投资,﻿博艺物业,43,299
﻿鸿禧山庄,﻿张浦-大市-慈城路299号,﻿120.956833,﻿31.240462,﻿14158,﻿暂无数据,﻿1.50元/㎡/月,﻿43023m²,﻿222户,﻿2007年,﻿222,﻿0.6,﻿48%(高),﻿昆山张浦建设管理所,﻿昆山百强物业管理有限公司,0,137
﻿开心公寓,﻿玉山-城南-熊庄路,﻿120.947855,﻿31.349886,﻿8333,﻿暂无数据,﻿1.55元/㎡/月,﻿30000m²,﻿200户,﻿2007年,﻿地面停车位,﻿1.3,﻿43%(高),﻿市政建设,﻿新世纪房产服务有限公司,1,29
﻿富都新村,﻿张浦-南港-望江路129号,﻿120.888444,﻿31.274363,﻿9775,﻿暂无数据,﻿0.50元/㎡/月,﻿86300m²,﻿600户,﻿2010年,﻿600,﻿1.2,﻿20%(一般),﻿暂无数据,﻿富都物业管理有限公司,1,24
﻿倚林佳园,﻿锦溪-锦溪-锦虬路,﻿120.925959,﻿31.170078,﻿19447,﻿暂无数据,﻿1.80元/㎡/月,﻿154448m²,﻿364户,﻿2016年,﻿364,﻿0.6,﻿49%(高),﻿暂无数据,﻿深圳开元国际,2,112
﻿龙隐水庄,﻿周庄-周庄-大学路66号,﻿120.841928,﻿31.132442,﻿10855,﻿暂无数据,﻿1.10元/㎡/月,﻿64000m²,﻿200户,﻿2010年,﻿200,﻿1.29,﻿40%(高),﻿苏州金科房地产开发有限公司,﻿江苏万润物业管理有限公司,3,203
﻿金邻花园,﻿玉山-城北-昆太路,﻿120.968711,﻿31.391278,﻿14400,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿水韵花苑,﻿周庄-周庄-云亭路,﻿120.851970,﻿31.125135,﻿9726,﻿暂无数据,﻿0.60元/㎡/月,﻿44500m²,﻿420户,﻿2009年,﻿1：2（地上150元/月）,﻿1.2,﻿40%(高),﻿昆山杉欣房产开发有限公司_x000D_,﻿江苏爱涛物业管理有限公司,0,115
﻿富村苑,﻿周庄-周庄-全功路,﻿120.847066,﻿31.116113,﻿7608,﻿暂无数据,﻿0.50元/㎡/月,﻿10801m²,﻿280户,﻿2009年,﻿地上150元/月,﻿1.62,﻿35%(一般),﻿昆山名仕房地产有限公司,﻿暂无数据,0,0
﻿假日半岛(别墅),﻿周庄-周庄-全功路,﻿120.847066,﻿31.116113,﻿16883,﻿暂无数据,﻿1.70元/㎡/月,﻿52000m²,﻿120户,﻿2012年,﻿364,﻿0.8,﻿40%(高),﻿昆山假日置业有限公司,﻿昆山市万润物业管理有限公司,0,114
﻿云亭别墅,﻿周庄-周庄-全旺路99号,﻿120.850589,﻿31.125869,﻿11621,﻿暂无数据,﻿1.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2010年,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿盛世明珠园,﻿周庄-周庄-淀南路509号,﻿120.839609,﻿31.126724,﻿7412,﻿暂无数据,﻿2.20元/㎡/月,﻿70000m²,﻿500户,﻿2005年,﻿300,﻿0.9,﻿45%(高),﻿美墅房地产开发有限公司_x000D_,﻿江苏万润物业管理有限公司,0,116
﻿百乐门国际广场,﻿玉山-城西-前进路与鹿城路交叉口,﻿120.930236,﻿31.381630,﻿7844,﻿普通住宅,﻿暂无数据,﻿155700m²,﻿暂无数据,﻿暂无数据,﻿按1：1配车位,﻿3.43,﻿23%(一般),﻿昆山百乐门房地产开发有限公司,﻿暂无数据,0,0
﻿龙溪新村,﻿陆家-陆家-童泾南路,﻿121.046160,﻿31.308587,﻿10229,﻿暂无数据,﻿0.50元/㎡/月,﻿暂无数据,﻿暂无数据,﻿1991年,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿苏州沧浪建设开发有限公司,﻿业主自治,0,0
﻿园明新村,﻿玉山-城南-庆丰路与黑龙江路,﻿120.982485,﻿31.380534,﻿11538,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿嘉鹿花园(张浦),﻿张浦-南港-震阳路,﻿120.885602,﻿31.277215,﻿10182,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿无物业,1,57
﻿中南世纪城,﻿玉山-城东-太湖北路199号,﻿121.036506,﻿31.396100,﻿16539,﻿暂无数据,﻿2.46元/㎡/月,﻿1040000m²,﻿7448户,﻿2018年,﻿6354,﻿2.5,﻿30%(一般),﻿昆山中南世纪城房地产开发有限公司,﻿中南物业,294,2291
﻿丽景花园,﻿玉山-老城区-前进中路,﻿120.973183,﻿31.383135,﻿16526,﻿暂无数据,﻿1.50元/㎡/月,﻿74855m²,﻿780户,﻿2005年,﻿650,﻿1.2,﻿38%(一般),﻿南通华新建工集团有限公司,﻿丽景物业,3,23
﻿亭林新村,﻿玉山-老城区-西塘街下塘33号,﻿120.952548,﻿31.385502,﻿31773,﻿暂无数据,﻿0.50元/㎡/月,﻿45721m²,﻿450户,﻿2010年,﻿若干个,﻿2.3,﻿暂无数据,﻿昆山城建发展有限责任公司,﻿昆山物业公司,6,109
﻿常发香城名园,﻿玉山-城南-中华园路1558号,﻿120.950529,﻿31.360046,﻿17507,﻿公寓,﻿0.80元/平米/月,﻿120000m²,﻿800户,﻿2006年,﻿300,﻿1.66,﻿40%(高),﻿昆山市海发置业有限公司,﻿江苏常福物业管理公司,57,243
﻿绿洲家园,﻿玉山-老城区-长江中路179号,﻿120.980468,﻿31.374374,﻿17241,﻿暂无数据,﻿1.20元/㎡/月,﻿86000m²,﻿880户,﻿2009年,﻿880,﻿1.3,﻿40%(高),﻿昆山房地产开发有限公司,﻿君安物业,19,50
﻿朝阳广场,﻿玉山-老城区-朝阳西路,﻿120.961727,﻿31.373918,﻿22798,﻿暂无数据,﻿1.60元/㎡/月,﻿25884m²,﻿460户,﻿2009年,﻿150左右,﻿2.5,﻿30%(一般),﻿昆山君鸿开发有限公司,﻿小区自治,20,94
﻿汇杰雅苑,﻿玉山-城南-衡山路,﻿120.960523,﻿31.359180,﻿17241,﻿暂无数据,﻿1.40元/㎡/月,﻿54807m²,﻿392户,﻿2016年,﻿296,﻿2.34,﻿40%(高),﻿昆山丰源房地产有限公司,﻿苏州易亚物业,73,195
﻿滨江花园,﻿玉山-城北-汉林路,﻿120.931882,﻿31.274144,﻿18361,﻿暂无数据,﻿1.00元/㎡/月,﻿9800m²,﻿850户,﻿2012年,﻿120,﻿1.5,﻿40%(高),﻿深圳鹏基物业,﻿昆山市绿城物业管理有限公司,6,218
﻿火炬新村,﻿玉山-城北-北门路,﻿120.947726,﻿31.457579,﻿15569,﻿暂无数据,﻿0.30元/㎡/月,﻿4600m²,﻿500户,﻿2000年,﻿1：0.5,﻿0.54,﻿40%(高),﻿昆山中贸房地产开发有限公司,﻿万宝物业有限公司,43,176
﻿新城丽园,﻿玉山-老城区-庆丰路,﻿121.000230,﻿31.354490,﻿15455,﻿暂无数据,﻿1.50元/㎡/月,﻿54600m²,﻿460户,﻿2005年,﻿460,﻿1.43,﻿42%(高),﻿昆山市体育房地产有限公司,﻿昆山烨德物业服务有限公司,4,125
﻿好旺角,﻿陆家-陆家-童泾路,﻿121.043716,﻿31.313723,﻿12000,﻿暂无数据,﻿1.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2008年,﻿暂无数据,﻿1.47,﻿31%(一般),﻿暂无数据,﻿上海上湖酒店管理有限公司,0,0
﻿华城美地(别墅),﻿周市-周市-长江北路999号,﻿120.966281,﻿31.462686,﻿20633,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,3,16
﻿县西新村,"﻿玉山-老城区-亭林路,近西塘街",﻿120.955121,﻿31.385942,﻿30882,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿康乐公寓,﻿周市-周市-海鹏路,﻿120.999345,﻿31.458077,﻿9347,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿阳澄溢景苑,﻿巴城-阳澄湖-湖滨南路,﻿120.851948,﻿31.453871,﻿20556,﻿暂无数据,﻿2.35元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿0.8,﻿56%(高),﻿暂无数据,﻿新城物业管理有限公司,0,89
﻿桂花园南区,﻿周庄-周庄-全功路,﻿120.847066,﻿31.116113,﻿6666,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1.68,﻿35%(一般),﻿常熟市碧桂园房地产开发有限公司,﻿小区自治,0,0
﻿翡翠名都(商住楼),"﻿玉山-老城区-合兴路,近长江南路",﻿120.979773,﻿31.365254,﻿12983,﻿暂无数据,﻿2.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿3.4,﻿31%(一般),﻿昆山市紫金花置业有限公司,﻿昆山开泰物业有限公司,23,38
﻿合生颐廷(别墅),﻿周市-周市-迎周路88号,﻿120.987009,﻿31.459762,﻿13548,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿合生国际花园(别墅),﻿周市-周市-迎周路99号,﻿120.987420,﻿31.459040,﻿14126,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,49
﻿绿地卡米小城(商住楼),﻿花桥-赛格电子城-外青松公路988号,﻿121.143029,﻿31.305060,﻿12174,﻿暂无数据,﻿1.70元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2014年,﻿暂无数据,﻿2,﻿40%(高),﻿昆山雅苑商业发展有限公司,﻿上海绿地物业服务有限公司,14,78
﻿万仁弄,﻿玉山-老城区-横街与县后街交接,﻿120.956178,﻿31.384450,﻿29000,﻿普通住宅,﻿暂无数据,﻿13000m²,﻿520户,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿中欣大厦,﻿玉山-城北-五联路,﻿120.942335,﻿31.437867,﻿6500,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2002年,﻿暂无数据,﻿1.59,﻿36%(一般),﻿苏州中欣建设发展有限公司,﻿苏州市苏房物业管理有限公司,0,0
﻿富贵园,﻿周庄-周庄-周庄,﻿120.980737,﻿31.385598,﻿14516,﻿普通住宅,﻿2.5元/平米/月,﻿98120m²,﻿652户,﻿2011年,﻿652,﻿1.4,﻿25%(一般),﻿昆山富贵开发有限公司,﻿富贵物业,0,0
﻿同心新村,"﻿玉山-城北-花园路,近柏庐北路",﻿120.964672,﻿31.398275,﻿11175,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿1,﻿30%(一般),﻿昆山城市建设投资发展有限公司,﻿暂无数据,0,0
﻿橘色生香,﻿周市-昆山商厦-昆太路468号,﻿120.991700,﻿31.393730,﻿12000,﻿暂无数据,﻿1.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2005年,﻿暂无数据,﻿1.69,﻿41%(高),﻿昆山市中楠房地产开发有限公司,﻿昆山中楠房地产开发有限公司,0,0
﻿国润溪香米兰,﻿周市-客运北站-横长泾路888号,﻿120.978820,﻿31.422659,﻿15761,﻿暂无数据,﻿1.20元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2018年,﻿暂无数据,﻿1.3,﻿40%(高),﻿昆山国润房产开发有限公司,﻿百强物业有限公司,7,200
﻿创业居乐家园,﻿周市-客运北站-润发路38号,﻿120.997341,﻿31.422847,﻿8906,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿30%(一般),﻿暂无数据,﻿暂无数据,0,0
﻿万科海上传奇,﻿锦溪-锦溪-同周公路99号,﻿120.876407,﻿31.153547,﻿16202,﻿暂无数据,﻿3.40元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2018年,﻿暂无数据,﻿2,﻿40%(高),﻿昆山长泰置业有限公司,﻿江苏苏南万科物业服务有限公司,0,146
﻿银宏新邨,﻿锦溪-锦溪-邵泉街,﻿120.902497,﻿31.180061,﻿9361,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,0
﻿富贵广场,﻿淀山湖-淀山湖-曙光路,﻿121.036553,﻿31.176568,﻿12856,﻿暂无数据,﻿0.00元/㎡/月,﻿35000m²,﻿326户,﻿暂无数据,﻿地上停车位,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿昆山志远物业,0,1
﻿江南春堤一期(别墅),﻿张浦-江南春堤-振新东路,﻿120.958128,﻿31.313011,﻿13262,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,0,30
﻿光华时代蓝钻,﻿花桥-花桥新城-绿地大道1325号,﻿121.090920,﻿31.292030,﻿8595,﻿暂无数据,﻿3.80元/㎡/月,﻿暂无数据,﻿暂无数据,﻿2013年,﻿暂无数据,﻿3,﻿35%(一般),﻿苏州市置业有限公司昆山分公司,﻿苏州佳友物业,1,19
﻿棕榈湾(别墅),﻿花桥-花桥新城-绿地大道1339号,﻿121.080720,﻿31.292950,﻿22916,﻿暂无数据,﻿0.00元/㎡/月,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,﻿暂无数据,8,10
